,ORIG_YEAR,LOAN_AGE,ULT_REPURCHASE_LOAN_COUNT,ULT_REPURCHASE_UPB,ULT_ORIG_UPB_AT_TERMINAL,ORIG_LOAN_COUNT,ORIG_UPB,LOAN_AGE_MAX,REPURCHASE_UPB,ORIG_UPB_AT_TERMINAL,CUM_COUNT,CUM_UPB,CUM_ORIG_UPB_AT_TERMINAL,ult_repurch_rate,age_repurch_rate,age_ult_diff,ult_repurch_upb_rate,age_repurch_upb_rate,age_ult_upb_diff,age_repurch_orig_upb_at_terminal_rate
192,1999,1,790.0,50342525.0,68654000.0,159981.0,19096175000.0,240.000000,,,,,,0.494,,,0.36,,,
193,1999,2,790.0,50342525.0,68654000.0,159981.0,19096175000.0,240.000000,296000.0,296000.0,3.0,296000.0,296000.0,0.494,0.002,0.492,0.36,0.002,0.358,0.002
194,1999,3,790.0,50342525.0,68654000.0,159981.0,19096175000.0,240.000000,529000.0,529000.0,8.0,825000.0,825000.0,0.494,0.005,0.489,0.36,0.004,0.356,0.004
195,1999,4,790.0,50342525.0,68654000.0,159981.0,19096175000.0,240.000000,979000.0,979000.0,15.0,1804000.0,1804000.0,0.494,0.009,0.485,0.36,0.009,0.351,0.009
196,1999,5,790.0,50342525.0,68654000.0,159981.0,19096175000.0,240.000000,530000.0,530000.0,20.0,2334000.0,2334000.0,0.494,0.013,0.481,0.36,0.012,0.348,0.012
0,1999,6,790.0,50342525.0,68654000.0,159981.0,19096175000.0,240.000000,4827000.0,4827000.0,68.0,7161000.0,7161000.0,0.494,0.043,0.451,0.36,0.037,0.323,0.037
197,1999,7,790.0,50342525.0,68654000.0,159981.0,19096175000.0,240.000000,2107000.0,2107000.0,89.0,9268000.0,9268000.0,0.494,0.056,0.438,0.36,0.049,0.311,0.049
198,1999,8,790.0,50342525.0,68654000.0,159981.0,19096175000.0,240.000000,1256337.0,1258000.0,102.0,10524337.0,10526000.0,0.494,0.064,0.43,0.36,0.055,0.305,0.055
199,1999,9,790.0,50342525.0,68654000.0,159981.0,19096175000.0,240.000000,1286609.0,1292000.0,113.0,11810946.0,11818000.0,0.494,0.071,0.423,0.36,0.062,0.298,0.062
200,1999,10,790.0,50342525.0,68654000.0,159981.0,19096175000.0,240.000000,740438.0,741000.0,120.0,12551384.0,12559000.0,0.494,0.075,0.419,0.36,0.066,0.294,0.066
201,1999,11,790.0,50342525.0,68654000.0,159981.0,19096175000.0,240.000000,395280.0,442000.0,125.0,12946664.0,13001000.0,0.494,0.078,0.416,0.36,0.068,0.292,0.068
1,1999,12,790.0,50342525.0,68654000.0,159981.0,19096175000.0,240.000000,575203.0,622000.0,131.0,13521867.0,13623000.0,0.494,0.082,0.412,0.36,0.071,0.289,0.071
202,1999,13,790.0,50342525.0,68654000.0,159981.0,19096175000.0,240.000000,643734.0,698000.0,137.0,14165601.0,14321000.0,0.494,0.086,0.40800000000000003,0.36,0.074,0.286,0.075
203,1999,14,790.0,50342525.0,68654000.0,159981.0,19096175000.0,240.000000,830899.0,1148000.0,145.0,14996500.0,15469000.0,0.494,0.091,0.403,0.36,0.079,0.28099999999999997,0.081
204,1999,15,790.0,50342525.0,68654000.0,159981.0,19096175000.0,240.000000,1173327.0,1494000.0,156.0,16169827.0,16963000.0,0.494,0.098,0.396,0.36,0.085,0.27499999999999997,0.089
205,1999,16,790.0,50342525.0,68654000.0,159981.0,19096175000.0,240.000000,919894.0,974000.0,165.0,17089721.0,17937000.0,0.494,0.103,0.391,0.36,0.089,0.271,0.094
206,1999,17,790.0,50342525.0,68654000.0,159981.0,19096175000.0,240.000000,1296778.0,1339000.0,175.0,18386499.0,19276000.0,0.494,0.109,0.385,0.36,0.096,0.264,0.101
207,1999,18,790.0,50342525.0,68654000.0,159981.0,19096175000.0,240.000000,1506933.0,1556000.0,188.0,19893432.0,20832000.0,0.494,0.118,0.376,0.36,0.104,0.256,0.109
208,1999,19,790.0,50342525.0,68654000.0,159981.0,19096175000.0,240.000000,1373811.0,1427000.0,199.0,21267243.0,22259000.0,0.494,0.124,0.37,0.36,0.111,0.249,0.117
209,1999,20,790.0,50342525.0,68654000.0,159981.0,19096175000.0,240.000000,1164290.0,1176000.0,210.0,22431533.0,23435000.0,0.494,0.131,0.363,0.36,0.117,0.243,0.123
210,1999,21,790.0,50342525.0,68654000.0,159981.0,19096175000.0,240.000000,622192.0,627000.0,215.0,23053725.0,24062000.0,0.494,0.134,0.36,0.36,0.121,0.239,0.126
