,REPURCHASE_QUARTER,SELLER,LOAN_COUNT
0,2000-03-01,"Bank Of America, N.A.",3.0
1,2000-03-01,Bishops Gate Residential Mortgage Trust,1.0
2,2000-03-01,"Citimortgage, Inc.",1.0
3,2000-03-01,"Gmac Mortgage, Llc",4.0
4,2000-03-01,"Jpmorgan Chase Bank, National Association",1.0
5,2000-03-01,Other,1.0
6,2000-03-01,Amtrust Bank,0.0
7,2000-03-01,First Tennessee Bank National Association,0.0
8,2000-03-01,"Flagstar Bank, Fsb",0.0
9,2000-03-01,"Jpmorgan Chase Bank, Na",0.0
10,2000-03-01,Regions Bank,0.0
11,2000-03-01,Usaa Federal Savings Bank,0.0
12,2000-03-01,"Wells Fargo Bank, N.A.",0.0
13,2000-03-01,Netbank Funding Services,0.0
14,2000-03-01,Rbc Mortgage Company,0.0
15,2000-03-01,Suntrust Mortgage Inc.,0.0
16,2000-03-01,Fleet National Bank,0.0
17,2000-03-01,"Ge Mortgage Services, Llc",0.0
18,2000-03-01,"Harwood Street Funding I, Llc",0.0
19,2000-03-01,"Jp Morgan Chase Bank, Na",0.0
20,2000-03-01,"Pnc Bank, N.A.",0.0
21,2000-03-01,Citizens Mortgage Corporation,0.0
22,2000-03-01,"Capital One, National Association",0.0
23,2000-03-01,Everbank,0.0
24,2000-03-01,The Huntington National Bank,0.0
25,2000-03-01,Washtenaw Mortgage Company,0.0
26,2000-03-01,Old Kent Mortgage Company,0.0
27,2000-03-01,"Provident Funding Associates, L.P.",0.0
28,2000-03-01,"Witmer Funding, Llc",0.0
29,2000-03-01,"Irwin Mortgage, Corporation",0.0
30,2000-03-01,"Hsbc Bank Usa, National Association",0.0
31,2000-03-01,The Branch Banking And Trust Company,0.0
32,2000-03-01,"Principal Residential Mortgage Capital Resources, Llc",0.0
33,2000-03-01,Chase Home Finance,0.0
34,2000-03-01,"Pulte Mortgage, L.L.C.",0.0
35,2000-03-01,"Chase Home Finance, Llc",0.0
36,2000-03-01,"Fdic, Receiver, Indymac Federal Bank Fsb",0.0
37,2000-03-01,Flagstar Capital Markets Corporation,0.0
38,2000-03-01,Chase Home Finance Franklin American Mortgage Company,0.0
39,2000-03-01,Freedom Mortgage Corp.,0.0
40,2000-03-01,"Metlife Bank, Na",0.0
41,2000-03-01,Federal Home Loan Bank Of Chicago,0.0
42,2000-03-01,Metlife Home Loans Llc,0.0
43,2000-03-01,Phh Mortgage Corporation,0.0
44,2000-03-01,"Santander Bank, National Association",0.0
45,2000-03-01,Chase Home Finance (Cie 1),0.0
46,2000-03-01,Ally Bank,0.0
47,2000-03-01,"Gmac Mortgage, Llc (Usaa Federal Savings Bank)",0.0
48,2000-03-01,"Citizens Bank, National Association",0.0
49,2000-03-01,U.S. Bank N.A.,0.0
50,2000-03-01,New York Community Bank,0.0
51,2000-03-01,Fifth Third Bank,0.0
52,2000-03-01,Quicken Loans Inc.,0.0
53,2000-03-01,"Homeward Residential, Inc.",0.0
54,2000-03-01,Pennymac Corp.,0.0
55,2000-03-01,"Cashcall, Inc.",0.0
56,2000-03-01,Franklin American Mortgage Company,0.0
57,2000-03-01,"Nycb Mortgage Company, Llc",0.0
58,2000-03-01,"Wells Fargo Bank,  Na",0.0
59,2000-03-01,Chicago Mortgage Solutions Dba Interbank Mortgage Company,0.0
60,2000-03-01,Chicago Mortgage Solutions Dba Interfirst Mortgage Company,0.0
61,2000-03-01,"United Shore Financial Services, Llc D/B/A United Wholesale Mortgage",0.0
62,2000-03-01,Usaa Direct Delivery,0.0
63,2000-03-01,Ditech Financial Llc,0.0
64,2000-03-01,Amerisave Mortgage Corporation,0.0
65,2000-03-01,"Homebridge Financial Services, Inc.",0.0
66,2000-03-01,"Stearns Lending, Llc",0.0
67,2000-03-01,Stonegate Mortgage Corporation,0.0
68,2000-03-01,"Nationstar Mortgage, Llc",0.0
69,2000-03-01,"Sierra Pacific Mortgage Company, Inc.",0.0
70,2000-03-01,"J.P. Morgan Madison Avenue Securities Trust, Series 2014-1",0.0
71,2000-03-01,"Loandepot.Com, Llc",0.0
72,2000-03-01,"Pacific Union Financial, Llc",0.0
73,2000-03-01,"Prospect Mortgage, Llc",0.0
74,2000-03-01,"Caliber Home Loans, Inc.",0.0
75,2000-03-01,Impac Mortgage Corp.,0.0
76,2000-03-01,Pmt Credit Risk Transfer Trust 2015-2,0.0
77,2000-03-01,Suntrust Bank,0.0
78,2000-03-01,"Amerihome Mortgage Company, Llc",0.0
79,2000-03-01,"J.P. Morgan Madison Avenue Securities Trust, Series 2015-1",0.0
80,2000-03-01,Wells Fargo Credit Risk Transfer Securities Trust 2015,0.0
81,2000-03-01,Guild Mortgage Company,0.0
82,2000-03-01,"Movement Mortgage, Llc",0.0
83,2000-03-01,Pmt Credit Risk Transfer Trust 2016-1,0.0
84,2000-03-01,Finance Of America Mortgage Llc,0.0
85,2000-03-01,Bvrt Trust,0.0
86,2000-03-01,Academy Mortgage Corporation,0.0
87,2000-03-01,Fairway Independent Mortgage Corporation,0.0
88,2000-03-01,Pmtt4,0.0
89,2000-03-01,"Plaza Home Mortgage, Inc.",0.0
90,2000-03-01,Truist Bank (Formerly Suntrust Bank),0.0
91,2000-03-01,"Bay Equity, Llc",0.0
92,2000-03-01,"Quicken Loans, Llc",0.0
93,2000-03-01,Rrac Spv-Fn2 Trust,0.0
94,2000-03-01,"United Shore Financial Services, Llc Dba United Wholesale Mortgage",0.0
95,2000-03-01,Northpointe Bank,0.0
96,2000-03-01,Skyline Financial Corp.,0.0
97,2000-03-01,Fbc Mortgage Llc,0.0
98,2000-03-01,"Cmg Mortgage, Inc",0.0
99,2000-03-01,"Eagle Home Mortgage, Llc",0.0
100,2000-03-01,"Lakeview Loan Servicing, Llc",0.0
101,2000-03-01,Bvrt 2014-1 Trust,0.0
102,2000-03-01,"Lakeview Loan Servicing, LLC",0.0
103,2000-03-01,"Mid America Mortgage, Inc.",0.0
104,2000-03-01,"Movement Mortgage, LLC",0.0
105,2000-03-01,NewRez LLC,0.0
106,2000-03-01,PennyMac Corp.,0.0
107,2000-03-01,"United Shore Financial Services, LLC dba United Wholesale Mortgage",0.0
108,2000-03-01,"Flagstar Bank, FSB",0.0
109,2000-03-01,Home Point Financial Corporation,0.0
